trigger,direction,signal_def
F0,SHORT,Bar_Range:hi + PrevDay_Low_Dist_ATR:hi + PrevDay_High_Side:==1
F0,SHORT,Bars_Since_Flip:hi + Sqz_Val:hi + PrevDay_Close_Dist_ATR:hi
F0,SHORT,D2D_ATR:hi + AT_Score_LT:hi + RangeOsc_State:==-1
F0,SHORT,D2D_ATR:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1
F0,SHORT,D2D_ATR_MA:hi + Micro_MicroGap:lo + VWAP_Sigma:lo
F0,SHORT,D2D_ATR_MA:hi + Sqz_Val:hi + Session_High_Dist_ATR:hi
F0,SHORT,D2D_Dn_Count:hi + Micro_IBSP:lo + Micro_VolOfVol:lo
F0,SHORT,D2D_Dn_Count:hi + Slope_Accel_ST:lo + Micro_VolAccel:lo
F0,SHORT,D2D_Dynamic_Sensitivity:lo + EMA_Oscillator:lo + Lower_Wick:lo
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Lower_Wick:lo + Volume:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Micro_IBSP:lo + Micro_WickImbalance:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + OBV_Macd:lo + MultiDay_Slope:lo
F0,SHORT,D2D_Dynamic_Sensitivity:lo + RangeOsc_Val:lo + Volume_Avg_10:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Slope_Accel_LT:lo + MultiDay_Position:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Upper_Wick:hi + VAH_Side:==-1
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Volume_Avg_10:hi + Efficiency_Ratio:hi
F0,SHORT,DailyOpen_Dist_ATR:lo + TChan_A15:hi + VAH_Side:==-1
F0,SHORT,DailyOpen_Dist_ATR:lo + VAH_Side:==0 + PrevDay_Low_Side:==1
F0,SHORT,EMA_Oscillator:lo + Micro_Hurst:hi + ADX_Value:lo
F0,SHORT,Efficiency_Ratio:hi + Micro_BarEntropy:hi + Body_Size:hi
F0,SHORT,Efficiency_Ratio:lo + DailyOpen_Side:==-1 + OR_High_Side:==1
F0,SHORT,Efficiency_Ratio:lo + PrevDay_Close_Side:==-1 + OR_High_Side:==1
F0,SHORT,KAMA_Dist:hi + Micro_IBSP:hi + OBVf_Signal:==1
F0,SHORT,Micro_AutoCorr:hi + VA_Position:hi + VWAP_Side:==-1
F0,SHORT,Micro_AutoCorr:lo + Micro_MicroGap:hi + Micro_MomoTransfer:hi
F0,SHORT,Micro_AutoCorr:lo + VAL_Side:==0 + WeeklyOpen_Side:==-1
F0,SHORT,Micro_BarEntropy:hi + Round_100_Dist_ATR:lo + PoC_Side:==0
F0,SHORT,Micro_BarEntropy:hi + WeeklyOpen_Dist_ATR:lo + VAH_Side:==0
F0,SHORT,Micro_BarEntropy:lo + Micro_Hurst:hi + Session_High_Dist_ATR:lo
F0,SHORT,Micro_BarOverlap:hi + Micro_HLAsymmetry:lo + PrevDay_High_Side:==1
F0,SHORT,Micro_BarOverlap:lo + Micro_OrderFlowDelta:hi + Micro_PriceAccel:lo
F0,SHORT,Micro_BarOverlap:lo + RangeOsc_State:==2 + OR_High_Side:==1
F0,SHORT,Micro_Entropy:lo + Micro_WickImbalance:lo + Lower_Wick:lo
F0,SHORT,Micro_Entropy:lo + Micro_WickImbalance:lo + VAL_Side:==0
F0,SHORT,Micro_Entropy:lo + PrevDay_High_Dist_ATR:lo + VWAP_Z:lo
F0,SHORT,Micro_FailedBreak:lo + Micro_FractalDim:lo + Micro_HLAsymmetry:hi
F0,SHORT,Micro_FailedBreak:lo + Micro_HLAsymmetry:hi + Micro_VolAccel:hi
F0,SHORT,Micro_FailedBreak:lo + Micro_PriceAccel:hi + VAH_Side:==-1
F0,SHORT,Micro_GarmanKlass:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1
F0,SHORT,Micro_HLAsymmetry:hi + Micro_Hurst:lo + DailyOpen_Dist_ATR:hi
F0,SHORT,Micro_HLAsymmetry:hi + MultiDay_Slope:hi + RangeOsc_State:==2
F0,SHORT,Micro_HLAsymmetry:lo + Micro_Hurst:hi + Session_High_Dist_ATR:lo
F0,SHORT,Micro_HLAsymmetry:lo + Micro_LogReturn:hi + MultiDay_Slope:hi
F0,SHORT,Micro_Hurst:hi + Micro_Lambda:hi + Micro_RangeVelocity:lo
F0,SHORT,Micro_IBSP:hi + Micro_VolAccel:hi + VWAP_Z:lo
F0,SHORT,Micro_IBSP:lo + Micro_PriceAccel:hi + Session_High_Dist_ATR:lo
