direction,condition,variable,bars_present,share_traded_bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl_where_present,mean_multiplicity,book_slots_dir,book_slot_share_dir
SHORT,PrevDay_Low_Dist_ATR:hi,PrevDay_Low_Dist_ATR,43,0.1156,41,2,4.98,100.59,4325.5,1.44,2,0.0063
SHORT,ATR_1M:hi,ATR_1M,42,0.1129,41,1,4.57,185.31,7783.2,1.36,2,0.0063
SHORT,Micro_OrderFlowDelta:hi,Micro_OrderFlowDelta,43,0.1156,41,2,4.79,85.28,3667.1,1.0,3,0.0094
SHORT,TChan_A15:hi,TChan_A15,41,0.1102,40,1,4.95,151.25,6201.1,1.05,3,0.0094
SHORT,PrevDay_Close_Dist_ATR:hi,PrevDay_Close_Dist_ATR,41,0.1102,40,1,5.05,97.23,3986.4,1.66,2,0.0063
SHORT,PrevDay_High_Dist_ATR:lo,PrevDay_High_Dist_ATR,39,0.1048,39,0,5.38,204.23,7965.1,1.36,3,0.0094
SHORT,Micro_WickImbalance:lo,Micro_WickImbalance,39,0.1048,39,0,5.41,554.42,21622.4,1.56,3,0.0094
SHORT,Slope_Accel_LT:lo,Slope_Accel_LT,40,0.1075,39,1,4.75,99.17,3966.8,1.1,4,0.0126
SHORT,Micro_BarEntropy:lo,Micro_BarEntropy,40,0.1075,38,2,4.8,182.66,7306.5,1.02,2,0.0063
SHORT,Micro_RangeAccel:lo,Micro_RangeAccel,38,0.1022,38,0,5.82,599.83,22793.6,1.61,4,0.0126
SHORT,Micro_CSSpread:hi,Micro_CSSpread,38,0.1022,38,0,4.61,147.56,5607.3,1.0,2,0.0063
SHORT,WeeklyOpen_Dist_ATR:hi,WeeklyOpen_Dist_ATR,39,0.1048,38,1,4.79,143.16,5583.3,1.72,3,0.0094
SHORT,AT_Lookback_ST:hi,AT_Lookback_ST,38,0.1022,37,1,5.0,67.66,2571.1,1.0,1,0.0031
SHORT,Volume_Ratio_10:hi,Volume_Ratio_10,36,0.0968,35,1,5.11,148.52,5346.8,1.11,2,0.0063
SHORT,MultiDay_Slope:hi,MultiDay_Slope,36,0.0968,35,1,4.72,209.87,7555.3,1.64,4,0.0126
SHORT,Momentum_Value:hi,Momentum_Value,35,0.0941,35,0,5.17,127.27,4454.4,1.0,2,0.0063
SHORT,Micro_Lambda:hi,Micro_Lambda,34,0.0914,34,0,4.71,244.81,8323.5,1.03,2,0.0063
SHORT,Micro_OrderFlowDelta:lo,Micro_OrderFlowDelta,34,0.0914,34,0,5.41,267.52,9095.7,1.21,3,0.0094
SHORT,Micro_HLAsymmetry:hi,Micro_HLAsymmetry,35,0.0941,34,1,4.8,183.63,6427.2,1.11,4,0.0126
SHORT,Micro_MomoTransfer:hi,Micro_MomoTransfer,34,0.0914,34,0,5.56,224.16,7621.5,1.06,4,0.0126
SHORT,Micro_IBSP:lo,Micro_IBSP,33,0.0887,32,1,5.58,642.21,21193.0,1.12,3,0.0094
SHORT,VAL_Side:==0,VAL_Side,32,0.086,32,0,5.34,243.83,7802.5,2.09,6,0.0189
SHORT,Micro_BarOverlap:lo,Micro_BarOverlap,32,0.086,32,0,4.47,159.21,5094.8,1.28,4,0.0126
SHORT,VAH_Side:==0,VAH_Side,31,0.0833,31,0,5.48,216.46,6710.4,1.61,3,0.0094
SHORT,Bars_Since_Flip:hi,Bars_Since_Flip,31,0.0833,30,1,5.16,100.45,3114.1,1.0,1,0.0031
SHORT,OR_High_Side:==-1,OR_High_Side,30,0.0806,30,0,5.6,166.58,4997.4,1.0,1,0.0031
SHORT,Micro_GarmanKlass:hi,Micro_GarmanKlass,29,0.078,28,1,4.83,128.29,3720.3,1.0,1,0.0031
SHORT,DailyOpen_Dist_ATR:lo,DailyOpen_Dist_ATR,28,0.0753,27,1,5.36,233.08,6526.2,1.0,2,0.0063
SHORT,Micro_CSSpread:lo,Micro_CSSpread,27,0.0726,27,0,4.78,116.78,3153.0,1.48,2,0.0063
SHORT,OR_High_Side:==1,OR_High_Side,26,0.0699,26,0,4.23,165.67,4307.4,1.42,3,0.0094
SHORT,D2D_Signal:==-1,D2D_Signal,26,0.0699,26,0,5.5,740.37,19249.7,1.92,4,0.0126
SHORT,Body_Size:hi,Body_Size,25,0.0672,25,0,5.24,270.1,6752.6,1.04,3,0.0094
SHORT,AT_Slope_ST:hi,AT_Slope_ST,26,0.0699,25,1,4.88,172.61,4487.9,1.19,3,0.0094
SHORT,PrevDay_Close_Side:==-1,PrevDay_Close_Side,25,0.0672,25,0,4.32,181.67,4541.8,1.08,2,0.0063
SHORT,ADX_Value:lo,ADX_Value,25,0.0672,25,0,4.52,143.08,3576.9,1.16,2,0.0063
SHORT,RangeOsc_Val:lo,RangeOsc_Val,25,0.0672,25,0,5.84,244.96,6124.1,1.12,3,0.0094
SHORT,Micro_VolAccel:lo,Micro_VolAccel,24,0.0645,24,0,5.67,769.55,18469.2,1.0,2,0.0063
SHORT,PrevDay_Close_Dist_ATR:lo,PrevDay_Close_Dist_ATR,24,0.0645,24,0,5.12,224.55,5389.3,1.0,1,0.0031
SHORT,VWAP_Side:==1,VWAP_Side,24,0.0645,24,0,5.12,224.55,5389.3,1.0,1,0.0031
SHORT,VAH_Side:==-1,VAH_Side,24,0.0645,23,1,4.67,234.91,5637.8,1.04,3,0.0094
SHORT,AT_Regime_ST:==0,AT_Regime_ST,24,0.0645,23,1,5.25,752.38,18057.2,1.0,1,0.0031
SHORT,VWAP_Z:lo,VWAP_Z,23,0.0618,22,1,5.65,179.27,4123.1,1.0,2,0.0063
SHORT,Efficiency_Ratio:hi,Efficiency_Ratio,22,0.0591,22,0,6.5,832.92,18324.2,1.0,2,0.0063
SHORT,Micro_WickImbalance:hi,Micro_WickImbalance,22,0.0591,21,1,5.27,226.88,4991.4,1.0,1,0.0031
SHORT,Micro_MicroGap:lo,Micro_MicroGap,21,0.0565,21,0,5.57,253.44,5322.3,1.48,3,0.0094
SHORT,Slope_Accel_ST:lo,Slope_Accel_ST,21,0.0565,21,0,5.67,856.87,17994.3,1.0,2,0.0063
SHORT,VWAP_Sigma:lo,VWAP_Sigma,21,0.0565,21,0,5.57,293.31,6159.6,1.67,3,0.0094
SHORT,VWAP_Sigma_ATR:lo,VWAP_Sigma_ATR,21,0.0565,21,0,5.71,887.0,18627.1,1.19,2,0.0063
SHORT,PoC_Side:==0,PoC_Side,21,0.0565,21,0,4.86,171.32,3597.8,1.29,3,0.0094
SHORT,Micro_Rejection:hi,Micro_Rejection,21,0.0565,21,0,4.62,105.35,2212.4,1.05,3,0.0094
SHORT,Upper_Wick:hi,Upper_Wick,20,0.0538,20,0,5.0,195.06,3901.3,1.05,2,0.0063
SHORT,Micro_MicroGap:hi,Micro_MicroGap,21,0.0565,20,1,4.76,886.87,18624.2,1.14,4,0.0126
SHORT,Slope_EMA_ST:hi,Slope_EMA_ST,21,0.0565,20,1,4.67,217.95,4577.0,1.05,2,0.0063
