bar,time,direction,depth_q,admissible_nA,admitted,capped,slots,distinct_conds,distinct_vars,conds_per_slot,vars_per_slot,eH_conds,eH_vars,bar_pnl,loss_event,cond_set,sig_set,ADX_Value,ATR_1M,Volume,Micro_Hurst,Micro_FailedBreak,D2D_Trend_Dir,AT_Slope_ST,exp_conds_random,exp_vars_random
138474,2026.06.10 22:55,SHORT,3,3,3,0,9,7,7,0.7778,0.7778,6.24,6.24,384.3,0,D2D_Dynamic_Sensitivity:lo|Micro_IBSP:lo|Micro_WickImbalance:hi|RangeOsc_Val:lo|Upper_Wick:hi|VAH_Side:==-1|Volume_Avg_10:hi,222|224|226,26.12801,36.4038,349,0.523927,-1.043847,-1,-5.1e-05,8.803955007256892,8.681536388140161
138583,2026.06.11 01:59,SHORT,4,4,4,0,12,7,7,0.5833,0.5833,6.447,6.447,44.8,0,D2D_Dynamic_Sensitivity:lo|EMA_Oscillator:lo|Lower_Wick:lo|Micro_Entropy:lo|Micro_MomoTransfer:hi|Micro_WickImbalance:lo|VAL_Side:==0,220|244|245|264,31.57901,23.683513,166,0.42126,-1.203369,-1,-0.000136,11.61144858072867,11.371771386700862
138610,2026.06.11 02:26,LONG,5,5,5,0,15,13,13,0.8667,0.8667,12.469,12.469,159.0,0,ADX_Value:hi|AT_Regime_ST:==1|D2D_Signal:==1|Micro_Hurst:hi|Micro_Rejection:lo|Micro_WickImbalance:lo|Momentum_Value:hi|OBV_Macd:lo|PoC_Side:==1|PrevDay_Low_Side:==-1|Upper_Wick:hi|VWAP_Dist_ATR:lo|VWAP_Side:==1,111|118|128|180|181,31.61882,31.538799,173,0.535801,-0.285363,1,-1.3e-05,13.933964781772266,13.604790342516026
138616,2026.06.11 02:32,LONG,3,3,3,0,9,6,6,0.6667,0.6667,5.67,5.67,87.0,0,Micro_Lambda:lo|Micro_RollProxy:hi|OBV_Macd:lo|RangeOsc_State:==-2|Sqz_State:==1|Sqz_Val:hi,124|130|179,29.150386,29.132776,146,0.559717,-0.017163,1,0.000103,8.665108670454496,8.56108508618842
139382,2026.06.11 15:18,SHORT,4,4,4,0,12,9,9,0.75,0.75,8.123,8.123,648.8,0,Micro_BarEntropy:lo|Micro_HLAsymmetry:lo|Micro_Hurst:hi|Micro_Lambda:hi|Micro_RangeVelocity:lo|RangeOsc_State:==-2|Session_High_Dist_ATR:lo|VWAP_Sigma:hi|Volume_Ratio_10:hi,240|253|255|295,15.020296,21.174694,139,0.56034,0.708393,-1,-4.7e-05,11.61144858072867,11.371771386700862
139387,2026.06.11 15:23,SHORT,4,4,4,0,12,8,8,0.6667,0.6667,6.735,6.735,168.0,0,AT_Score_LT:hi|AT_Slope_ST:lo|Bar_Range:hi|D2D_ATR:hi|Micro_Rejection:hi|RangeOsc_State:==-1|Volume:hi|Volume_Ratio_10:hi,195|198|209|214,29.424762,96.387755,469,0.399967,0.601736,-1,-0.000208,11.61144858072867,11.371771386700862
139410,2026.06.11 15:46,LONG,12,12,12,0,36,22,22,0.6111,0.6111,17.874,17.874,781.2,0,ADX_Value:hi|AT_Regime_ST:==1|D2D_Signal:==1|DailyOpen_Dist_ATR:lo|Micro_Amihud:hi|Micro_Hurst:hi|Micro_VolOfVol:hi|Micro_WickImbalance:lo|Momentum_Value:hi|OBV_Macd:lo|OR_Low_Side:==-1|PoC_Side:==1|RangeOsc_State:==-2|Session_High_Dist_ATR:lo|Sqz_State:==1|Sqz_Val:hi|Upper_Wick:hi|VA_Position:hi|VWAP_Side:==1|Volume:hi|Volume_Ratio_10:hi|WeeklyOpen_Side:==-1,65|80|115|118|128|130|131|132|140|145|179|180,31.79928,59.290695,362,0.511191,0.472249,1,-9e-06,29.895732127216817,28.07020869698633
139470,2026.06.11 16:46,LONG,8,8,8,0,24,15,15,0.625,0.625,12.858,12.858,336.0,0,D2D_Signal:==1|Micro_CSSpread:lo|Micro_HLAsymmetry:hi|Micro_LogReturn:hi|Micro_RangeVelocity:lo|Micro_TickIntensity:lo|Momentum_Value:hi|OBVf_Signal:==-1|OR_High_Side:==-1|ST_Flip_Event:==1|Session_High_Dist_ATR:lo|Slope_Accel_LT:lo|VWAP_Dist_ATR:lo|VWAP_Side:==1|Volume:hi,117|145|153|155|156|158|161|181,16.240891,99.710115,501,0.429842,0.406177,1,2.2e-05,21.20075584842148,20.34657927196911
139575,2026.06.11 18:31,LONG,6,6,6,0,18,13,13,0.7222,0.7222,11.555,11.555,128.4,0,D2D_ATR_MA:hi|DailyOpen_Dist_ATR:lo|DailyOpen_Side:==1|Micro_HLAsymmetry:lo|Micro_IBSP:hi|Micro_LogReturn:hi|Micro_MicroGap:hi|Micro_VPIN:lo|OR_Low_Side:==-1|ST_Flip_Event:==-1|Slope_Accel_ST:lo|VWAP_Side:==1|Volume:hi,61|65|88|90|114|162,17.047719,40.614262,371,0.499911,0.714035,1,-3e-06,16.435780104648117,15.954503499974125
139692,2026.06.11 20:28,LONG,6,6,6,0,18,15,15,0.8333,0.8333,13.228,13.228,1062.0,0,AT_Regime_LT:==1|D2D_Signal:==1|DailyOpen_Dist_ATR:lo|Lower_Wick:lo|Micro_OrderFlowDelta:hi|Micro_Rejection:lo|MultiDay_Position:hi|OBV_Velocity:hi|PoC_Side:==1|Round_1000_Dist_ATR:lo|Session_High_Dist_ATR:lo|Upper_Wick:hi|VWAP_Dist_ATR:lo|VWAP_Side:==1|Volume:hi,104|133|143|145|180|181,26.62221,167.330136,337,0.420879,1.091316,1,-4.1e-05,16.435780104648117,15.954503499974125
139693,2026.06.11 20:29,LONG,5,4,4,0,15,7,7,0.4667,0.4667,6.305,6.305,336.0,0,AT_Regime_LT:==1|Micro_Entropy:lo|Micro_MomoTransfer:hi|Micro_RangeAccel:lo|Micro_RangeVelocity:lo|MultiDay_Position:hi|Round_1000_Dist_ATR:lo,85|86|100|101|143,29.917499,230.890397,552,0.552225,0.460998,1,0.000321,13.933964781772266,13.604790342516026
139694,2026.06.11 20:30,LONG,3,3,3,0,9,7,7,0.7778,0.7778,6.24,6.24,252.0,0,ADX_Value:hi|Harmonic_LLEMA:hi|Micro_MicroGap:hi|Micro_Rejection:lo|Micro_RollProxy:hi|Micro_WickImbalance:lo|OBV_Macd:lo,123|126|128,33.35888,199.051583,560,0.551128,0.060286,1,0.000494,8.665108670454496,8.56108508618842
139718,2026.06.11 20:54,LONG,5,5,5,0,15,8,8,0.5333,0.5333,6.42,6.42,78.0,0,AT_Slope_ST:lo|D2D_ATR_MA:hi|Micro_GarmanKlass:hi|Micro_VolOfVol:hi|Momentum_Value:lo|OBVf_Signal:==1|PrevDay_Close_Dist_ATR:hi|Volume:hi,35|37|60|87|121,43.274054,31.005437,390,0.332209,-0.032252,1,-7.2e-05,13.933964781772266,13.604790342516026
139722,2026.06.11 20:58,LONG,10,6,6,0,30,15,15,0.5,0.5,11.734,11.734,130.2,0,ADX_Rising:==0|AT_Regime_ST:==1|AT_Slope_ST:lo|D2D_ATR_MA:hi|Micro_HLAsymmetry:hi|Micro_OrderFlowDelta:lo|Micro_Rejection:lo|Micro_RollProxy:lo|Micro_VolOfVol:hi|Momentum_Value:lo|OBVf_Signal:==1|Round_100_Dist_ATR:lo|Session_High_Dist_ATR:lo|Slope_EMA_ST:lo|Volume:hi,35|37|60|121|166|167|174|175|176|178,36.120246,41.127813,379,0.423033,-0.303931,1,-8.4e-05,25.67729340170544,24.370762681353153
140637,2026.06.12 13:28,SHORT,4,4,4,0,12,11,11,0.9167,0.9167,10.691,10.691,-558.8,1,Bar_Range:hi|D2D_Dynamic_Sensitivity:lo|Micro_IBSP:lo|Micro_VPIN:lo|Micro_WickImbalance:hi|MultiDay_Position:hi|PrevDay_High_Side:==1|PrevDay_Low_Dist_ATR:hi|RangeOsc_State:==-1|Slope_Accel_LT:lo|Slope_EMA_LT:hi,212|222|225|286,46.579774,34.181801,290,0.318243,-0.526596,-1,-0.000137,11.61144858072867,11.371771386700862
140826,2026.06.12 16:37,SHORT,4,4,4,0,12,9,9,0.75,0.75,8.485,8.485,476.8,0,Bar_Range:hi|Lower_Wick:lo|Micro_BarOverlap:hi|Micro_HLAsymmetry:lo|Micro_LogReturn:hi|Micro_RangeVelocity:lo|Micro_ThrustEff:lo|MultiDay_Slope:hi|PrevDay_High_Side:==1,211|241|254|258,29.031356,67.868968,364,0.344427,0.0,-1,-0.000127,11.61144858072867,11.371771386700862
