direction,condition,location,turn,in_book_side,n_297A,rate_297A,n_Ai297,rate_Ai297,rate_untraded_hm,lift_297A,lift_Ai297,lift_973,p_297A_vs_untraded,p_297A_vs_Ai297,BY_297A_vs_untraded,BY_297A_vs_Ai297
LONG,OBVf_DirStepCount:lo,False,False,False,45,0.12931034482758622,38,0.15019762845849802,0.175099043179897,0.7384982949034884,0.8523301724708247,0.7865946928995774,0.022174936474871003,0.4745831508251319,False,False
LONG,OBVf_Signal:==-1,False,False,True,66,0.1896551724137931,106,0.4189723320158103,0.19817305760911338,0.9570179453348224,2.134895198958555,1.450064990094411,0.7848873438196742,1.1611930090071973e-09,False,True
LONG,OBVf_Signal:==1,False,False,True,282,0.8103448275862069,147,0.5810276679841897,0.8018269423908648,1.0106230967619318,0.7228956515112694,0.8893318240005911,0.7848873438196742,1.1611930090071973e-09,False,True
LONG,OBVf_Trend_Dir:==-1,False,False,False,66,0.1896551724137931,106,0.4189723320158103,0.19817305760911338,0.9570179453348224,2.134895198958555,1.450064990094411,0.7848873438196742,1.1611930090071973e-09,False,True
LONG,OBVf_Trend_Dir:==1,False,False,False,282,0.8103448275862069,147,0.5810276679841897,0.8018269423908648,1.0106230967619318,0.7228956515112694,0.8893318240005911,0.7848873438196742,1.1611930090071973e-09,False,True
LONG,OR_High_Dist_ATR:hi,True,False,False,71,0.20402298850574713,62,0.2450592885375494,0.22429812053769194,0.9096063222315869,1.0633215425285198,0.9753335753484383,0.5341535886023897,0.23431955118135922,False,False
LONG,OR_High_Dist_ATR:lo,True,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,OR_High_Side:==-1,True,False,True,198,0.5689655172413793,163,0.6442687747035574,0.4048832302426839,1.4052582936081244,1.59971583043326,1.4868665962315828,2.0774817559895043e-14,0.06420852732127728,True,False
LONG,OR_High_Side:==0,True,False,True,44,0.12643678160919541,35,0.1383399209486166,0.12997370754845725,0.9727873736467572,1.0128878477509409,0.9901546669355175,1.0676807695063809e-07,0.7142884476946728,True,False
LONG,OR_High_Side:==1,True,False,True,106,0.3045977011494253,55,0.21739130434782608,0.4651430622088371,0.6548473489058918,0.4718914088523356,0.5782588519347447,0.0008229621920741092,0.01961018225596547,True,False
LONG,OR_Low_Dist_ATR:hi,True,False,False,63,0.1810344827586207,47,0.1857707509881423,0.3033079804424633,0.5968668628320594,0.6264210779085623,0.609146340086318,0.0014203191273096229,0.9150913379307621,True,False
LONG,OR_Low_Dist_ATR:lo,True,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,OR_Low_Side:==-1,True,False,True,131,0.3764367816091954,115,0.45454545454545453,0.19784917340526317,1.9026452076103617,2.1822087011458,2.023851614414029,1.1392906607351782e-19,0.06446065006421417,True,False
LONG,OR_Low_Side:==0,True,False,False,45,0.12931034482758622,35,0.1383399209486166,0.12903218547541362,1.0021557361920805,1.0199882195377472,1.0098801326675573,2.942433558937809e-07,0.8080478845577286,True,False
LONG,OR_Low_Side:==1,True,False,True,172,0.4942528735632184,103,0.40711462450592883,0.6731186411193057,0.7342730439634569,0.6205306081926436,0.6871010271477037,0.0005038500205360606,0.038216253914220025,True,False
LONG,OR_Position:hi,True,False,True,128,0.367816091954023,66,0.2608695652173913,0.5233579802825925,0.7028001975921279,0.5084676256070051,0.6219337075677345,0.0022270514358872897,0.006151041232028644,True,False
LONG,OR_Position:lo,True,False,True,140,0.40229885057471265,121,0.4782608695652174,0.22754732161841995,1.767978843756017,2.0017235112482696,1.8691672234231744,3.031792406490813e-18,0.06714218189087548,True,False
LONG,PoC_Side:==-1,True,False,False,0,0.0,6,0.023715415019762844,0.0024354838263278685,0.0,5.417867316103556,3.069061236810487,0.40588300711765113,0.005375408830284144,False,True
LONG,PoC_Side:==0,True,False,False,2,0.005747126436781609,1,0.003952569169960474,0.0021118695651184505,2.721345357547811,0.6542693350091556,1.3254670396719097,0.6518689667479719,1.0,False,False
LONG,PoC_Side:==1,True,False,True,346,0.9942528735632183,246,0.9723320158102767,0.9954526466085318,0.998794746239913,0.9825688663368877,0.9919876027823291,1.0,0.03980402252629222,False,False
LONG,PrevDay_Close_Dist_ATR:hi,True,False,True,39,0.11206896551724138,23,0.09090909090909091,0.1316668587462126,0.8511554584381322,0.7070904063595326,0.7913439022092911,0.33364036364218963,0.41872947063566723,False,False
LONG,PrevDay_Close_Dist_ATR:lo,True,False,False,135,0.3879310344827586,110,0.43478260869565216,0.30017065174835794,1.292368298576947,1.4491034943012826,1.3583311447350428,0.0018515529337449369,0.2745465835366412,True,False
LONG,PrevDay_Close_Side:==-1,True,False,True,217,0.6235632183908046,162,0.6403162055335968,0.3798294204794704,1.6416927830489318,1.6420960458331446,1.641865129709435,2.6304400541581465e-16,0.7321322381683066,True,False
LONG,PrevDay_Close_Side:==0,True,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,PrevDay_Close_Side:==1,True,False,False,131,0.3764367816091954,91,0.35968379446640314,0.6201705795204995,0.6069890995155671,0.5895859677780995,0.5997326136540689,2.6304400541581465e-16,0.7321322381683066,True,False
LONG,PrevDay_High_Dist_ATR:hi,True,False,True,45,0.12931034482758622,25,0.09881422924901186,0.06337017824897083,2.040555169650107,1.4757199619975385,1.7951615265196932,3.6859584274530424e-05,0.3029312246451441,True,False
LONG,PrevDay_High_Dist_ATR:lo,True,False,True,157,0.4511494252873563,102,0.4031620553359684,0.433823366012243,1.0399380499819006,0.936403207288016,0.9965449252199293,0.38064942088961906,0.24431345802456597,False,False
LONG,PrevDay_High_Side:==-1,True,False,True,299,0.8591954022988506,232,0.9169960474308301,0.6785788382886865,1.2661688720881166,1.338099996391216,1.2966222313780402,2.4014798767923254e-12,0.029294400518855034,True,False
LONG,PrevDay_High_Side:==0,True,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,PrevDay_High_Side:==1,True,False,True,49,0.14080459770114942,21,0.08300395256916997,0.32142116171130153,0.43806884696540055,0.2637533770639908,0.36558412386901656,2.4014798767923254e-12,0.029294400518855034,True,False
