direction,condition,variable,in_book_this_dir,book_group,traded_bars_true,traded_rate,untraded_rate_hourmatched,untraded_rate_raw,lift_hourmatched,lift_raw,fisher_p_raw
LONG,MultiDay_Position:hi,MultiDay_Position,True,both,111,0.18469217970049917,0.39729261285266787,0.3947193745851464,0.4648769539769683,0.46790756064257627,2.378163900367245e-27
LONG,MultiDay_Position:lo,MultiDay_Position,True,LONG-only,231,0.3843594009983361,0.18820061504375035,0.19831846006342652,2.04228557334409,1.9380918996416656,1.2373947117185373e-24
LONG,MultiDay_Slope:hi,MultiDay_Slope,False,SHORT-only,76,0.1264559068219634,0.193361075653222,0.20289106866288073,0.6539884327534058,0.6232699529621962,1.889765094453269e-06
LONG,MultiDay_Slope:lo,MultiDay_Slope,True,both,135,0.22462562396006655,0.23409731466033473,0.23902942694889004,0.9595395158034546,0.9397404613620927,0.43414536477708693
LONG,OBV_Macd:hi,OBV_Macd,False,not-in-book,139,0.23128119800332778,0.48115542463147054,0.4566708459325909,0.48067877064977926,0.5064505432375842,3.7966329978419156e-29
LONG,OBV_Macd:lo,OBV_Macd,True,both,267,0.4442595673876872,0.1208643430444564,0.11092263441256729,3.675687603119469,4.0051299695542895,7.996810175812157e-89
LONG,OBV_Velocity:hi,OBV_Velocity,True,both,189,0.3144758735440932,0.27725692378820155,0.2880743417656169,1.1342399289704428,1.0916483280553917,0.16784869368087357
LONG,OBV_Velocity:lo,OBV_Velocity,False,SHORT-only,46,0.07653910149750416,0.04277581645040171,0.04100597389187993,1.7893077876433,1.8665353906558613,0.00011032178377541241
LONG,OBVf_DirStepCount:hi,OBVf_DirStepCount,False,SHORT-only,41,0.06821963394342762,0.1845204314438358,0.1824618334685449,0.36971317165054574,0.37388440446197857,2.8000056087194696e-15
LONG,OBVf_DirStepCount:lo,OBVf_DirStepCount,False,not-in-book,83,0.13810316139767054,0.1755709295324511,0.17685670034663323,0.7865946928995707,0.7808760489537176,0.013565884152216495
LONG,OBVf_Signal:==-1,OBVf_Signal,True,LONG-only,172,0.28618968386023297,0.19736334979137993,0.19706468028615678,1.45006499009439,1.4522626959060252,3.040850588415935e-07
LONG,OBVf_Signal:==1,OBVf_Signal,True,both,429,0.7138103161397671,0.8026366502086011,0.8029353197138432,0.8893318240006253,0.8890010174096722,3.040850588415935e-07
LONG,OBVf_Trend_Dir:==-1,OBVf_Trend_Dir,False,not-in-book,172,0.28618968386023297,0.19736334979137993,0.19706468028615678,1.45006499009439,1.4522626959060252,3.040850588415935e-07
LONG,OBVf_Trend_Dir:==1,OBVf_Trend_Dir,False,not-in-book,429,0.7138103161397671,0.8026366502086011,0.8029353197138432,0.8893318240006253,0.8890010174096722,3.040850588415935e-07
LONG,OR_High_Dist_ATR:hi,OR_High_Dist_ATR,False,SHORT-only,133,0.22129783693843594,0.22689451335598726,0.19057452614499595,0.9753335753484246,1.1612141528824507,0.0639253830415988
LONG,OR_High_Dist_ATR:lo,OR_High_Dist_ATR,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,OR_High_Side:==-1,OR_High_Side,True,both,361,0.6006655574043261,0.40398080024575883,0.36366988715982007,1.4868665962315921,1.651678015178515,1.4078528259125308e-30
LONG,OR_High_Side:==0,OR_High_Side,True,LONG-only,79,0.1314475873544093,0.13275460061328978,0.24345453204513606,0.9901546669355155,0.5399266394845307,2.947125836944167e-11
LONG,OR_High_Side:==1,OR_High_Side,True,both,161,0.26788685524126454,0.4632645991409639,0.39287558079504387,0.5782588519347469,0.6818618115667929,3.469915546000139e-10
LONG,OR_Low_Dist_ATR:hi,OR_Low_Dist_ATR,False,not-in-book,110,0.18302828618968386,0.3004668568865596,0.25510730879858395,0.6091463400863066,0.7174560660439213,4.366861916772627e-05
