direction,condition,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,share_traded_bars
SHORT,Volume_Ratio_10:lo,12,11,1,4.5,33.733333333333334,0.03225806451612903
SHORT,Lower_Wick:hi,10,10,0,4.9,148.98,0.026881720430107527
SHORT,Micro_ThrustEff:hi,10,10,0,4.3,73.47999999999999,0.026881720430107527
SHORT,MultiDay_Position:hi,11,10,1,5.090909090909091,105.06363636363636,0.02956989247311828
SHORT,Micro_FractalDim:lo,9,9,0,4.666666666666667,101.1888888888889,0.024193548387096774
SHORT,Round_100_Dist_ATR:lo,9,9,0,4.444444444444445,136.4888888888889,0.024193548387096774
SHORT,Micro_RollProxy:hi,8,8,0,5.25,175.3875,0.021505376344086023
SHORT,AT_Lookback_LT:hi,7,7,0,4.428571428571429,202.1,0.01881720430107527
SHORT,DailyOpen_Dist_ATR:hi,7,7,0,5.571428571428571,230.14285714285714,0.01881720430107527
SHORT,Micro_Amihud:lo,7,7,0,4.428571428571429,202.1,0.01881720430107527
SHORT,Micro_Hurst:lo,7,7,0,5.571428571428571,230.14285714285714,0.01881720430107527
SHORT,Micro_AutoCorr:lo,6,6,0,5.0,352.4666666666667,0.016129032258064516
SHORT,Micro_VolOfVol:lo,6,6,0,6.833333333333333,2539.3333333333335,0.016129032258064516
SHORT,Dist_To_PoC_ATR:lo,5,5,0,5.0,300.84000000000003,0.013440860215053764
SHORT,Micro_AutoCorr:hi,5,5,0,3.2,72.72,0.013440860215053764
SHORT,Slope_Accel_LT:hi,5,5,0,5.0,300.84000000000003,0.013440860215053764
SHORT,VWAP_Side:==-1,5,5,0,3.2,72.72,0.013440860215053764
SHORT,WeeklyOpen_Dist_ATR:lo,5,5,0,4.6,153.78,0.013440860215053764
SHORT,VAL_Side:==-1,4,4,0,4.25,86.575,0.010752688172043012
SHORT,Body_Size:lo,3,3,0,4.333333333333333,130.56666666666666,0.008064516129032258
SHORT,OR_Low_Side:==-1,3,3,0,4.333333333333333,130.56666666666666,0.008064516129032258
SHORT,PrevDay_Low_Side:==-1,3,3,0,6.666666666666667,4957.9,0.008064516129032258
